,error_rate,cultivation_distance,shots,errors,discards,gap,attempts_per_kept_shot,low_10,best_estimate,high_10,low_100,high_100,low_1000,high_1000,keep_rate,expected_volume,t_gate_cultivation_error_rate
0,0.00021,3,5000000000,387853,610736891,1,1.1391433765885264,8.806691929845758e-05,8.836403523058886e-05,8.86626069879558e-05,8.793911880300544e-05,8.878495098663269e-05,8.784456306786417e-05,8.888616615395521e-05,0.8778526218,6949.022518091403,0.0001767280704611777
1,0.00021,3,5000000000,310994,610911393,2,1.1391886668105315,7.058046618287376e-05,7.085616806733106e-05,7.11403705776223e-05,7.046577722462461e-05,7.124705559629637e-05,7.038402676749605e-05,7.133209830867286e-05,0.8778177214,6949.262697911369,0.00014171233613466212
2,0.00021,3,5000000000,295015,610970655,3,1.139204048480016,6.695030196932986e-05,6.721645648965238e-05,6.748890397314034e-05,6.683958956305406e-05,6.759553347210532e-05,6.67615814266104e-05,6.76755648349396e-05,0.877805869,6949.344268865186,0.00013443291297930476
3,0.00021,3,5000000000,260677,611059374,4,1.139227076598312,5.9145769359970375e-05,5.939405934447016e-05,5.964095491502782e-05,5.904471763979612e-05,5.974485242444015e-05,5.896362517800896e-05,5.982237910547665e-05,0.8777881252,6949.466389911669,0.00011878811868894032
4,0.00021,3,5000000000,205371,611252687,5,1.1392772566128018,4.656712620355867e-05,4.6794901905531513e-05,4.702547567244731e-05,4.647801421507814e-05,4.711371269599453e-05,4.641002670549513e-05,4.718041737938627e-05,0.8777494626,6949.732500924434,9.358980381106303e-05
5,0.00021,3,5000000000,182517,611343014,6,1.139300705129521,4.13781278826971e-05,4.1588349370259945e-05,4.180088135965338e-05,4.129430041539364e-05,4.1885134925420666e-05,4.122496029586031e-05,4.19533197940387e-05,0.8777313972,6949.856851397334,8.317669874051989e-05
6,0.00021,3,5000000000,165963,611408451,7,1.1393176929078035,3.761898963634904e-05,3.781691646328238e-05,3.801594387110734e-05,3.753733245864208e-05,3.8096181458968574e-05,3.747245059464977e-05,3.816300016303933e-05,0.8777183098,6949.946939750825,7.563383292656476e-05
7,0.00021,3,5000000000,139856,611531543,8,1.1393496495903606,3.168798667748976e-05,3.1868976926772063e-05,3.205179469289279e-05,3.161324534045751e-05,3.212542630336605e-05,3.155337479505552e-05,3.218709246381625e-05,0.8776936914,6950.116410111612,6.373795385354413e-05
8,0.00021,3,5000000000,119866,611627534,9,1.139374571657257,2.714452360708071e-05,2.731445448823942e-05,2.7484264595693507e-05,2.7075962881588275e-05,2.7553855315798983e-05,2.702141190583252e-05,2.7608741267678896e-05,0.8776744932,6950.24857500892,5.462890897647884e-05
9,0.00021,3,5000000000,108586,611715810,10,1.139397491647232,2.45851761938873e-05,2.47445232119299e-05,2.4903389404230905e-05,2.452039233129065e-05,2.497030394013748e-05,2.4466624163646064e-05,2.5023967283212804e-05,0.877656838,6950.370122637129,4.94890464238598e-05
10,0.00021,3,5000000000,97657,611778545,11,1.1394137807297997,2.210034543482264e-05,2.2254346322637903e-05,2.240785726252733e-05,2.204015704125397e-05,2.2470741509101893e-05,2.199049455219438e-05,2.2521144617119143e-05,0.877644291,6950.456505718187,4.4508692645275806e-05
11,0.00021,3,5000000000,93402,611826459,12,1.139426221867634,2.113290168074508e-05,2.128493760042021e-05,2.143757513714064e-05,2.107320941981861e-05,2.149795333265285e-05,2.1024900026851516e-05,2.154755939266076e-05,0.8776347082,6950.522482657864,4.256987520084042e-05
12,0.00021,3,5000000000,88738,611913469,13,1.1394488151950033,2.0076949116115777e-05,2.022248179772734e-05,2.036902858878468e-05,2.0016348670312948e-05,2.042953332088701e-05,1.997021694556916e-05,2.0476478612085052e-05,0.8776173062,6950.64229795264,4.044496359545468e-05
13,0.00021,3,5000000000,83878,612010084,14,1.139473903640815,1.897600760119887e-05,1.9115358422806367e-05,1.9255048807637237e-05,1.891657492131757e-05,1.9315541198249187e-05,1.887143808103501e-05,1.936117712810168e-05,0.8775979832,6950.775345178547,3.8230716845612734e-05
